product_link,product_name,product_currency,product_price,product_description
https://lab401.com/products/icopy-x-intermediate-tag-pack,iCopy-X Intermediate Tag Pack,EUR,129.95,"Official iCopy-X Intermediate Tag Pack. Pack contains: • MIFARE Classic® Compatible 1K 4-Byte Blank Tag ◦ 4x Magic Cards (""Gen1"") Blank Tags ◦ 1x Direct Write Cards (""Gen2"") Blank Tag ◦ 1x One-Time-Write Cards (""Gen2a"") Blank Tag • 1x MIFARE Classic® Compatible 1K 7-Byte Blank Tag• 1x MIFARE Classic® Compatible 4K 4-By"
https://lab401.com/products/mifare-desfire-ev2-compatible-modifiable-uid-atqa-sak-ats-apdu,MIFARE DESFire® Compatible Modifiable UID / ATQA / SAK / ATS / APDU,EUR,40.00,"MIFARE DESFire® Compatible Modifiable UID / ATQA / SAK / ATS / APDU MIFARE DESFire® remains the industry standard for ultra-high security badges. As of yet - the MIFARE DESFire® remains invulnerable to all channels of analysis. The inner workings of the MIFARE DESFire® cards remain under NDA lock and key, making it inc"
https://lab401.com/products/chameleontiny,Proxgrind ChameleonTiny,EUR,79.00,"Due to the Global Chip Shortage the ChameleonTiny is temporarily replaced with the ChameleonMini RevG Pro, which has the same functionality in a different size. If you have any questions, please contact contact customer support for more information. Introduction The ChameleonTiny is an RFID Emulation Device, capable of"
https://lab401.com/products/pandwa-rf,Pandwa RF - Full Kit,EUR,169.00,"Introduction The PandwaRF is pocket-sized, portable RF analysis tool operating the sub-1 GHz range. It allows for the capture, analysis and re-transmission of RF via an Android device or linux PC. Practically, it removes the 'standard SDR Grind' of capturing, demodulating, analysing, modifying and replaying by hand - r"
https://lab401.com/products/mifare-classic-compatible-1k-uid-modifiable-coin-tag,MIFARE Classic® Compatible 1K UID Modifiable Coin Tag,EUR,1.50,"MIFARE Classic® Compatible 1K tag - UID Changeable - White PVC Disc Need to make perfect clones of MIFARE Classic® 1K cards and tags ? Our UID Modifiable ""Magic"" MIFARE Classic® Compatible 1K tags are what you need. Feature Information Notes Chipset MIFARE Classic® Compatible Memory Size 1K UID Size 4 Byte UID Modifiab"
https://lab401.com/products/pandwarf-rogue-pro-kit,PandwaRF Rogue Pro Kit,EUR,579.00,"Introduction After the success of the PandwaRF, Lab401 worked with the ComThings engineers to build a version of the device optimised for Penetration Testing and the Security Industry. The result is the PandwaRF Rogue Pro. Built with the same quality as the PandwaRF - the similarities stop with the case. Engineered to "
https://lab401.com/products/ultimate-magic-card-gen4,Ultimate Magic Card (Gen4),EUR,39.95,"Ultimate Magic Card (Gen4) The Ultimate Magic Card is multi-purpose emulation card, supporting customisable card type, card configuration and functionality mode. It is essentially a completely configurable emulation platform in card format. This card is compatible with the Flipper Zero. Configurable Card TypesThe Ultim"
https://lab401.com/products/mifare-mini-compatible-uid-modifable-direct-write,MIFARE Mini® Compatible - UID Modifable - Direct Write,EUR,29.95,"MIFARE Mini® Compatible UID Changeable tag - Direct Write Need to make perfect clones of MIFARE Mini® Compatible 0.3k UID cards and tags ? Our UID Modifiable ""Magic"" MIFARE Mini® Compatible UID Direct Write tags are what you need. Feature Information Notes Chipset MIFARE Mini® Compatible Memory Size 0.3k UID Size 4 Byt"
https://lab401.com/products/mifare-classic-compatible-4k-7-byte-uid-modifiable-by-directwrite,MIFARE Classic® Compatible 4K 7-byte UID Modifiable by DirectWrite,EUR,29.99,"MIFARE Classic® Compatible 4K tag - 7-Byte UID Changeable by DirectWrite Need to make perfect clones of MIFARE Classic® 4K 7-Byte UID cards and tags ? Our UID Modifiable ""Magic"" MIFARE Classic® Compatible 4K 7-byte tags are what you need. Feature Information Notes Chipset MIFARE Classic® Compatible Memory Size 4K UID S"
https://lab401.com/products/hak5-plunder-bug-lan-sniffer,Plunder Bug,EUR,109.00,"Introduction The Hak5 Plunder Bug is a compact, advanced LAN/Ethernet Tap that functions as a mini-switch, allowing for passive monitoring and active engagement via its USB-C port. Bundled with an Android Root App that enabled packet-capture from your handset, and all necessary cross-platform connection scripts. Functi"
https://lab401.com/products/mifare-classic-compatible-1k-7-byte-direct-write-uid,MIFARE Classic® Compatible 1K 7-byte UID Direct Write,EUR,29.99,"MIFARE Classic® Compatible 1K 7-byte UID tag - Direct Write Need to make perfect clones of MIFARE Classic® Compatible 1K 7-byte UID cards and tags ? Our UID Modifiable ""Magic"" MIFARE Classic® Compatible 1k 7-byte UID Direct Write tags are what you need. Feature Information Notes Chipset MIFARE Classic® Compatible Memor"
https://lab401.com/products/hak5-network-mitm-lan-turtle,LAN Turtle,EUR,109.00,"Introduction The Hak5 LAN Turtle is a tiny network infiltration multi-tool masquerading as an innocent USB-to-Ethernet Adaptor. Easily configure via the inbuilt graphic shell, and deploy payloads such as MITM surveillence, network-scanning, VPN-tunneling, etc. Available in two versions: Offline Storage and Online (3G)."
https://lab401.com/products/hak5-network-mitm-packet-squirrel,Packet Squirrel,EUR,109.00,"Introduction The Hak5 Packet Squirel is a compact, discreet Man-In-The-Middle ethernet multi-tool. The power and flexibility of a full-featured laptop attached a target network, but in a tiny inconspicuous device: monitor traffic, exfiltrate data, establish secure tunnels.. control the network. Available with or withou"
https://lab401.com/products/o-mg-cable-pack,O.MG Cable Pack,EUR,535.00,"Introduction ﻿This is the updated (2023) version of the pack. The O.MG Cable Pack contains every O.MG Cable for every possible pentest environment: USB-C, Lightning &amp; MicroUSB. Also are included is the Cable Programmer tool and the Malicious Cable Detector. Please note: Cables may be white or black depending on cur"
https://lab401.com/products/usb-killer-pro-kit,USB Killer Pro Kit,EUR,69.99,"Introduction - Lab401 EU Exclusive The only CE and FCC approved USB ESD Testing device on the market; designed to test the surge protection circuitry of electronics to their limits - and beyond. Love it or hate it, the USB Killer has firmly established itself as a reality that hardware designers have no choice but to a"
https://lab401.com/products/airdrive-serial-logger,AirDrive Serial Logger,EUR,67.99,"Introduction Lab401's AirDrive Serial Logger is an advanced hardware serial logger, providing asynchronous bi-directional RS-232 high-speed logging with built in wifi configuration and egress. Setup is easy: connect the target device to the AirDrive Serial Logger, connect the USB-B power cable (provided), and the devic"
https://lab401.com/products/usbninja-remote-control,USBNinja Remote Control,EUR,50.00,"Introduction The USBNinja is a highly covert USB exploit framework allowing for wireless remote triggering of custom payloads. While dormant, the USBNinja functions as a regular USB Cable: Data Transfer, Recharging, etc. However, when triggered (via smartphone or dedicated long-range antenna) - it executes its preprogr"
https://lab401.com/products/usbninja-programming-ring,USBNinja Programming Ring,EUR,8.99,Holding Text for the Programming Ring
https://lab401.com/products/bash-bunny-field-guide-pdf,Bash Bunny Field Guide,EUR,9.99,"Introduction If you can physically access a device, the Hak5 Bash Bunny will get you electronic access. In short - it's the world's most powerful USB Attack Platform. This is the Official Hak5 Bash Bunny Field Guide. With 47 pages of in-depth information, from basics to advanced, it's perfect for hitting the ground run"
https://lab401.com/products/wifi-pineapple-field-guide-pdf,WiFi Pineapple Field Guide,EUR,9.99,"Introduction The Hak5 WiFi Pineapple is a highly advanced WiFi auditing and MITM platform. The original ""RougeAP"" device - the WiFi Pineapple provides an end-to-end workflow to bring WiFi clients from their trusted network to your rouge network. This is the Official Hak5 WiFi Pineapple Field Guide. With 76 pages of in-"
https://lab401.com/products/packet-squirrel-field-guide-pdf,Packet Squirrel Field Guide,EUR,9.99,"Introduction The Hak5 Packet Squirel is a compact, discreet Man-In-The-Middle ethernet multi-tool. The power and flexibility of a full-featured laptop attached a target network, but in a tiny inconspicuous device: monitor traffic, exfiltrate data, establish secure tunnels.. control the network. This is the Official Hak"
https://lab401.com/products/lan-turtle-field-guide-pdf,LAN Turtle Field Guide,EUR,9.99,"Introduction The Hak5 LAN Turtle is a tiny network infiltration multi-tool masquerading as an innocent USB-to-Ethernet Adaptor. Easily configure via the inbuilt graphic shell, and deploy payloads such as MITM surveillence, network-scanning, VPN-tunneling, etc. This is the Official Hak5 LAN Turtle Field Guide. With 28 p"
https://lab401.com/products/hak5-field-guide-pack-pdfs,Hak5 Field Guide Pack,EUR,39.99,"Introduction The Hak5 Field Guide Pack is a collection of all Hak5 Field Guides. The official field guides give in-depth information, from basics to advanced, perfect for hitting the ground running with your Hak5 hardware. Purchase as a pack and save 10%"
https://lab401.com/products/rubber-ducky-field-guide,Rubber Ducky Field Guide,EUR,9.99,"Introduction If you can physically access a device, the Hak5 Rubber Ducky will get you electronic access - exfiltrate passwords, infiltrate networks, unlock workstations - and much more. It's a powerful device; get to know it perfectly with the Rubber Ducky Field Guide. This is the Official Hak5 Rubber Ducky Field Guid"
https://lab401.com/products/hak5-screen-crab,Screen Crab,EUR,259.00,"Introduction The Hak5 Screen Crab is a hardware HDMI man-in-the-middle device, allowing for capture and exfiltration of HDMI data - as screenshots, video, or even streaming. The Screen Crab is the world's first video MITM device for pentesters, and has been quickly adopted by sysadmins, pen-testers and government users"
https://lab401.com/products/o-mg-malicious-cable-detector,O.MG Malicious Cable Detector,EUR,60.00,"Introduction ﻿﻿This is the updated (2023) version of the product. The O.MG Malicious Cable Detector is a device designed to detect and protect against malicious cables such as the O.MG cable or the USBNinja. The device samples a connected cable 200,000 times per second to analyse USB traffic. If traffic is detected - t"
https://lab401.com/products/flipper-zero-wifi-devboard,Flipper Zero Wifi Devboard,EUR,28.00,"The Flipper Zero Wifi devboard brings Wi-Fi connectivity to your Flipper device. Out of the box the Wifi Devboard adds the following functionality: Advanced, in-circuit debugging via USB or Wifi, via Black Magic Probe project Wireless / OTA Firmware Updates Internet connectivity on the Flipper opens a world of possibil"
https://lab401.com/products/o-mg-cable-programmer-usb-a,O.MG Cable Programmer (USB A+C),EUR,49.00,"Introduction ﻿This is the updated (2023 - USB-A + C) version of the product. The O.MG Cable resembles an ordinary USB-cable with a highly covert secret. Invisibly concealed in the cable is a USB exploit framework allowing for HID-attacks remote via local or remote triggering of custom payloads. While dormant, the O.MG "
https://lab401.com/products/o-mg-cable,O.MG Cable,EUR,149.00,"Introduction All O.M.G products are the updated (2023) versions. The O.MG Cable resembles an ordinary USB-cable with a highly covert secret. Invisibly concealed in the cable is a USB exploit framework allowing for HID-attacks remote via local or remote triggering of custom payloads. While dormant, the O.MG cable functi"
https://lab401.com/products/airdrive-serial-logger-max,AirDrive Serial Logger Max,EUR,106.99,"Introduction Lab401's AirDrive Serial Logger Max is arguably the world's most advanced hardware serial logger, providing asynchronous bi-directional RS-232 high-speed logging with built in wifi configuration and egress. Not only acting as a wifi access point, the AirDrive Serial Logger Max also acts as a wireless bridg"
https://lab401.com/products/inputstick-rat,InputStick RAT,EUR,39.99,"Introduction The InputStick Remote Admin is an ultra-small, incredibly powerful USB Remote Access Tool with wireless Bluetooth capabilities packed into a regular looking USB stick. It can be accessed with any BLE smartphone: Range: up to 10m HID interfaces: keyboard, mouse, gamepad, consumer control Radio interface: Bl"
https://lab401.com/products/pocket-usb-power-supply,Pocket USB Power Supply,EUR,19.99,"Introduction The Lab401 Pocket USB Power Supply is an invaluable device for every hacker's toolkit. Forget fumbling with level convertors every time you're looking to power your microcontroller, or digging through 'that' box of adaptors when you need 12 volts. Not everyone has the luxury of a fully equipped lab - and w"
